case,mode,time,A_inj,A_ctrl,SNR
m2,2,0.002500000000001279,0.046376033171855624,0.0034213737990615215,13.554798714065242
m2,2,0.2049999999999983,0.0069253980025926,0.003414967748659358,2.027954145485374
m2,2,0.3999999999999986,0.03152177019026224,0.0034112639419503045,9.240495818168927
m2,2,0.6024999999999991,0.008038470225456045,0.0034323264632048936,2.3419888264213133
m2,2,0.8049999999999997,0.010847214946682192,0.0034890629649778444,3.1089192300520927
m2,2,1.0,0.02065115566946329,0.003108721654619754,6.642973531829197
m2,2,1.2025000000000006,0.013986711595831267,0.003090556350804502,4.525629048048384
m2,2,1.4050000000000011,0.00878782297353203,0.0030888090685674474,2.845052179805894
m2,2,1.6000000000000014,0.01300894412420537,0.003076654217145963,4.228276304729826
m2,2,1.8024999999999984,0.0010548734991979569,0.0030580821667349906,0.344946094213096
m2,2,2.004999999999999,0.001444419117176886,0.003051740072436547,0.47331000769788495
m2,2,2.1999999999999993,0.014239598247375454,0.0031015990677394586,4.5910505956379835
m2,2,2.4025,0.0037685468808995935,0.003055877390922785,1.2332127238133739
m2,2,2.6050000000000004,0.005103319345686208,0.003039165255951417,1.6791845509857288
m2,2,2.8000000000000007,0.003303994430137554,0.003022001040837612,1.0933134653129641
m2,2,3.0025000000000013,0.0037183250016389773,0.003006311036677959,1.2368397535298974
m2,2,3.2049999999999983,0.0011019726093681075,0.0029943393774299817,0.3680186079354579
m2,2,3.3999999999999986,0.0057495618406166425,0.0030123214824992065,1.9086813522461268
m2,2,3.602499999999999,0.007254773555069277,0.002997331356559092,2.420410922934356
m2,2,3.8049999999999997,0.0013782301767322606,0.0030036519893631404,0.4588514853295253
m2,2,4.0,0.001665881691607355,0.0030013467217882353,0.5550447335903945
m2,2,4.202500000000001,0.003987488394276771,0.0029905021336962424,1.3333842331515944
m2,2,4.405000000000001,0.001285064323815736,0.002978105335902693,0.4315039862168678
m2,2,4.600000000000001,0.001875220471757966,0.0029672537732721993,0.6319717203325109
m2,2,4.802499999999998,0.005156189596448883,0.002954126139118405,1.7454195771029724
m2,2,5.004999999999999,0.003624719723306693,0.0029540032225717607,1.2270534086117229
m2,2,5.199999999999999,0.00209874348224288,0.002938168017789343,0.7143034263309284
m2,2,5.4025,0.003523445105227708,0.002931264336705866,1.2020223018123743
m2,2,5.605,0.002893147067994733,0.00294534938413659,0.9822763586476313
m2,2,5.800000000000001,0.0017392503384401961,0.0029289334374523793,0.5938169560975126
m2,2,6.002500000000001,0.003017416618665533,0.0028991760582714817,1.040784194549588
m2,2,6.204999999999998,0.003543533967687271,0.002884877225002266,1.2283136131328736
m2,2,6.399999999999999,0.002674964584062868,0.0028743945320096405,0.9306184499984627
m2,2,6.602499999999999,0.0029823266656190616,0.002870338687433094,1.0390155972451172
m2,2,6.805,0.003356937979122127,0.0028650350691783316,1.171691758762614
m2,2,7.0,0.002533875901293254,0.00285464615116875,0.8876322202861584
m2,2,7.202500000000001,0.002440695494842458,0.0028437382506965236,0.8582700936855396
m2,2,7.405000000000001,0.0029957666780356866,0.0028360007964535554,1.056334921267272
m2,2,7.600000000000001,0.0028557905818745893,0.0028283600797358146,1.0096983769270766
m2,2,7.802499999999998,0.0026996186847436654,0.0028206286396338038,0.9570982322203717
m2,2,8.004999999999999,0.0030652466712530607,0.002809504598693811,1.0910274618088003
m2,2,8.2,0.0029684816269799803,0.002807188480675895,1.0574571844442915
m2,2,8.4025,0.0026072903049735863,0.0027941564800343954,0.933122508923155
m2,2,8.605,0.002736397135255128,0.0027792677859787176,0.9845748398409574
m2,2,8.8,0.002343595931233468,0.002293083056969594,1.0220283666177485
m2,2,9.002500000000001,0.0021491651137075735,0.0022764815072811163,0.9440731702997222
m2,2,9.204999999999998,0.0025100613810242886,0.00252647115135196,0.9935048653459233
m2,2,9.399999999999999,0.0026849476344777716,0.0025158369465489386,1.0672184611013078
m2,2,9.6025,0.0025162479354757165,0.0024977056091785876,1.00742374370662
m2,2,9.805,0.002456978614839257,0.0025008597517257483,0.9824535794715356
m2,2,10.0,0.002528829768825673,0.0024929438647767884,1.0143949908202596
m2,2,10.2025,0.0024435856886190002,0.002480914303781986,0.9849536861849356
m2,2,10.405000000000001,0.0023770098689994096,0.00246896444537594,0.9627558118348971
m2,2,10.600000000000001,0.0024971230991940835,0.0024656666164766523,1.0127578004695466
m2,2,10.802499999999998,0.0025168650241509695,0.002454033984692434,1.0256031659913667
m2,2,11.004999999999999,0.0024495233788124487,0.0024580317497532285,0.9965385431080644
