t0,tkin,tstd,h_slope,h_se,p1,p2,p3,p4,bead
0.0,1.0112093107048004,0.06169757211510826,0.019130669106827952,0.0005839879158902424,0.10148148896866749,0.05886284785225384,0.03674609333911121,0.031074191048519925,3.536
25.005,1.0055668988847999,0.06681114861691341,-0.007927692325305852,0.0008468089472950666,0.1529737900380283,0.08473838629377463,0.0648234689622078,0.03989929724014745,5.536
50.0025,1.0185508801479999,0.05869171520768781,0.01019645416069648,0.0008515928846036628,0.2586551527621591,0.23404831025080333,0.30201639529491403,0.15815450838441578,3.504
75.0,1.0092896145416,0.06380234450687926,-0.007891419507813805,0.0007666241107382099,0.09134615436795938,0.1454881136984397,0.14016429512827577,0.20442018700176212,2.672
100.005,0.9688012750543998,0.05603829212587303,0.002159057300558435,0.0009964315166244727,0.08106515317789441,0.04451851328184042,0.058955077799886124,0.06915767050834508,4.088
125.0025,0.9953143477576,0.05971216335003556,-0.0024478282710088685,0.0009216908335853521,0.014471886583773243,0.056236467542153924,0.08397729140718914,0.020292077208755796,4.632
150.0,0.9834146923744,0.056914973014979775,0.017133238516182522,0.0010467476382021096,0.7100861444249797,0.5777103153234749,0.5754766287430787,0.2697734464171951,2.4
175.005,0.9943434942256,0.05727183467739489,0.014382036880975346,0.0008225123083630976,1.192950797998455,1.2790433591237365,1.5943264915663182,1.109076708335251,1.08
200.0025,1.0095730169408,0.0547043188624947,0.008687894046940536,0.0013972972430044547,1.0528166038502025,0.8578657813391655,1.115063836617217,1.345698995377907,1.4
225.0,0.9975685251288,0.05705551122349088,0.013873764597104338,0.0007382145139331669,0.9596806700411844,0.4741878640847614,1.3320806196244221,2.3466593334287094,2.184
250.005,0.9791845043199998,0.05999303179663662,0.02315780869449447,0.0017143548318396783,1.4703091228011052,2.0778040120583823,5.356454444784476,1.4624102923040074,1.624
275.0025,1.0127062036504,0.04784374026026365,0.018353816585137184,0.0008579594092501382,1.143739838497544,0.8892036338183643,4.443357011449644,0.326135565094881,3.584
