method,bg63_low_mean,bg63_low_median,bg63_low_max,bg63_mid_mean,bg63_mid_median,bg63_mid_max,bg63_high_mean,bg63_high_median,bg63_high_max,bg70_low_mean,bg70_low_median,bg70_low_max,bg70_mid_mean,bg70_mid_median,bg70_mid_max,bg70_high_mean,bg70_high_median,bg70_high_max,rec_m2_phase_deg,rec_m2_phase_err_deg,rec_m2_ratio,rec_m2_err,rec_m2_purity,snr_m2,rec_m3_phase_deg,rec_m3_phase_err_deg,rec_m3_ratio,rec_m3_err,rec_m3_purity,snr_m3,rec_m4_phase_deg,rec_m4_phase_err_deg,rec_m4_ratio,rec_m4_err,rec_m4_purity,snr_m4
A,0.026109090682305058,0.02295699192780693,0.0618012718954484,0.04969949130079183,0.03834366045581786,0.09485094318069151,0.060528062453084876,0.05599286884969232,0.09848253835621305,0.0495744711116068,0.04819192666951555,0.08660229959462955,0.051297334936807854,0.047997271746083106,0.09442490838005328,0.051464702818241684,0.061407312400553006,0.08116258247244114,89.99990537419964,9.462580035801693e-05,0.9995747420785379,0.0004252579214620855,0.999812590798066,1.9890737045042701,90.00433222088978,0.004332220889779137,0.9960792099479835,0.0039207900520165095,0.9995873652722953,1.9821178754387239,89.96383781078896,0.03616218921104064,0.9922434149235978,0.0077565850764022,0.9993178809763807,1.9744849504580382
B,0.013687759438325908,0.011920367253930784,0.028840830918732754,0.032468265576487076,0.025163899796250434,0.05856449192971461,0.041481715357111766,0.038126531167928746,0.06029095673181686,0.030451249867606056,0.0286260429782326,0.050007273715415655,0.03031625854033936,0.027029916436527367,0.05627800354407281,0.02921747333918933,0.035320478446990725,0.044561561039724966,90.00206676243872,0.002066762438715841,0.4995270458675037,0.5004729541324964,0.9955451389315549,1.8960683656798945,91.75815117472132,1.7581511747213199,0.498713240553343,0.501286759446657,0.9964716854863195,1.892979382761417,90.00412898563836,0.00412898563835995,0.4980837062076885,0.5019162937923115,0.995488749503446,1.890589842159403
C,0.018969507327924233,0.016770257312825148,0.04364317790666334,0.03433680443583652,0.029591038588012868,0.06788740903572724,0.03592314304367036,0.03036727802144435,0.062553981522441,0.05139158987168855,0.054640128689680045,0.09993544022803606,0.05203026151066625,0.0531828152500798,0.1073205289002304,0.049029440516354834,0.058870755518628,0.08467827387427185,89.9999999769054,2.3094600010153954e-08,0.4984570737448077,0.5015429262551923,0.9986138853731359,1.3652087436287328,89.58884311506313,0.4111568849368723,0.4965599896008435,0.5034400103991565,0.9986569373924611,1.3600128782329792,89.99999997599205,2.4007945853554702e-08,0.49386778640329776,0.5061322135967022,0.9985925072254448,1.352639285724196
D,0.00633951162675463,0.006257030887830813,0.020170854671103758,0.008453928649671833,0.009289948895447951,0.01789725167195841,0.009668062840835951,0.009524016245487307,0.017430204443089087,0.009359852854962561,0.009618473427324116,0.020177342844048613,0.009646262558615887,0.00937774763030963,0.018730776837833585,0.009691848260149022,0.012003691153211416,0.01614112000179214,89.99983358285071,0.0001664171492876676,1.0628863154235813,0.06288631542358125,0.9999937002758389,8.710806410509253,90.00859904628199,0.008599046281986489,1.0514177656995973,0.05141776569959733,0.99998786096422,8.616816757048419,89.99600374440071,0.003996255599290066,1.0358248620372228,0.03582486203722279,0.9999772339611497,8.489026265055365
